file,class,title,uploader,artist,license,license_url,page,thumb,sha1
aihole_durga_temple/02d15e35f84b.jpg,aihole_durga_temple,File:Temple courtyard.jpg,Ashok Vootla,Ashok Vootla,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Temple_courtyard.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/82/Temple_courtyard.jpg/500px-Temple_courtyard.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,28178cddb29e988281b518a1c6b6f7f5f0117c56
aihole_durga_temple/02e8bff3b23f.jpg,aihole_durga_temple,"File:Durga Temple, Aihole - hamvrvb102k22 (137).jpg",Vinayaraj,Vinayaraj,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"https://commons.wikimedia.org/wiki/File:Durga_Temple,_Aihole_-_hamvrvb102k22_(137).jpg",https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f7/Durga_Temple%2C_Aihole_-_hamvrvb102k22_%28137%29.jpg/500px-Durga_Temple%2C_Aihole_-_hamvrvb102k22_%28137%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,85b6699304034205fb6fbe98d226373954f19460
aihole_durga_temple/038f3b541007.jpg,aihole_durga_temple,"File:Durga Temple, Aihole - hamvrvb102k22 (96).jpg",Vinayaraj,Vinayaraj,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"https://commons.wikimedia.org/wiki/File:Durga_Temple,_Aihole_-_hamvrvb102k22_(96).jpg",https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a9/Durga_Temple%2C_Aihole_-_hamvrvb102k22_%2896%29.jpg/500px-Durga_Temple%2C_Aihole_-_hamvrvb102k22_%2896%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,0fd96c1f27c06129ed1f7e1a754ff78bbd3d1e2b
aihole_durga_temple/03a8034fdf94.jpg,aihole_durga_temple,File:Aihole-2020-9D0A9677.jpg,Muraliaithal,Murali K,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Aihole-2020-9D0A9677.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/02/Aihole-2020-9D0A9677.jpg/500px-Aihole-2020-9D0A9677.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,e3e790378f81ad3d3e6021c11d112dd1819c29cf
aihole_durga_temple/041172593da9.jpg,aihole_durga_temple,File:Carved stone on the ground.jpg,Ashok Vootla,Ashok Vootla,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Carved_stone_on_the_ground.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8d/Carved_stone_on_the_ground.jpg/500px-Carved_stone_on_the_ground.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,30206f6d16091b6afbbd21389e531ac0e9fa2848
aihole_durga_temple/042b71f5b231.jpg,aihole_durga_temple,File:N-KA-D41 Ambigergudi Aihole.jpg,Jmadhu,Jmadhu,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:N-KA-D41_Ambigergudi_Aihole.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c9/N-KA-D41_Ambigergudi_Aihole.jpg/500px-N-KA-D41_Ambigergudi_Aihole.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,190feea1e4c4b8f52477b5c4123616e956077a1c
aihole_durga_temple/047b07892110.jpg,aihole_durga_temple,File:Durga Temple Side VIew Aihole.jpg,Embedded Data Bot,AdityaShinobi,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Durga_Temple_Side_VIew_Aihole.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/04/Durga_Temple_Side_VIew_Aihole.jpg/500px-Durga_Temple_Side_VIew_Aihole.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,4d54943db65fbececfbd85aa7f943700c28a9896
aihole_durga_temple/047f2958196a.jpg,aihole_durga_temple,"File:Durga Temple, Aihole - hamvrvb102k22 (46).jpg",Vinayaraj,Vinayaraj,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"https://commons.wikimedia.org/wiki/File:Durga_Temple,_Aihole_-_hamvrvb102k22_(46).jpg",https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1e/Durga_Temple%2C_Aihole_-_hamvrvb102k22_%2846%29.jpg/500px-Durga_Temple%2C_Aihole_-_hamvrvb102k22_%2846%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,06aae6950416cc039ef45b614cf135c332509f5b
aihole_durga_temple/0651ab4cca12.jpg,aihole_durga_temple,File:Aihole 24.jpg,P4psk,P4psk,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Aihole_24.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fa/Aihole_24.jpg/500px-Aihole_24.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,82826c639cff3f1c801c3747fe0b628dad57429b
aihole_durga_temple/065a0e938062.jpg,aihole_durga_temple,File:Durga Temple view.jpg,Ashok Vootla,Ashok Vootla,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Durga_Temple_view.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4d/Durga_Temple_view.jpg/500px-Durga_Temple_view.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,167db86bad1cab30059e7c8b316056d1093476cc
