file,class,split
aihole_durga_temple/92fc3ca20a18.jpg,aihole_durga_temple,test
aihole_durga_temple/9f4dad8fa4ba.jpg,aihole_durga_temple,test
aihole_durga_temple/34396610ea30.jpg,aihole_durga_temple,test
aihole_durga_temple/a296e2840835.jpg,aihole_durga_temple,test
aihole_durga_temple/233760de8850.jpg,aihole_durga_temple,test
aihole_durga_temple/92fc56964c67.jpg,aihole_durga_temple,test
aihole_durga_temple/a15f9cea8c63.jpg,aihole_durga_temple,test
aihole_durga_temple/61f80090cb55.jpg,aihole_durga_temple,test
aihole_durga_temple/ab3961f26762.jpg,aihole_durga_temple,test
aihole_durga_temple/a77c8164c0ae.jpg,aihole_durga_temple,test
aihole_durga_temple/7049796fdc5a.jpg,aihole_durga_temple,test
aihole_durga_temple/eb943d39df0a.jpg,aihole_durga_temple,test
aihole_durga_temple/b9f1eca67ff2.jpg,aihole_durga_temple,test
aihole_durga_temple/48ad64c54ee5.jpg,aihole_durga_temple,test
aihole_durga_temple/ac0e5375d87d.jpg,aihole_durga_temple,test
aihole_durga_temple/5f82655f6dbd.jpg,aihole_durga_temple,test
aihole_durga_temple/5258d3537314.jpg,aihole_durga_temple,test
aihole_durga_temple/f5c22100fd51.jpg,aihole_durga_temple,test
aihole_durga_temple/8e368caf6eaf.jpg,aihole_durga_temple,test
aihole_durga_temple/c095d1061240.jpg,aihole_durga_temple,test
aihole_durga_temple/316433fa3dcc.jpg,aihole_durga_temple,test
aihole_durga_temple/824ee2b70964.jpg,aihole_durga_temple,test
aihole_durga_temple/4650b1a393b6.jpg,aihole_durga_temple,test
aihole_durga_temple/fb48715c5057.jpg,aihole_durga_temple,test
aihole_durga_temple/65f320a06ba7.jpg,aihole_durga_temple,test
aihole_durga_temple/1fcae3fe3c0f.jpg,aihole_durga_temple,test
aihole_durga_temple/4cc1ecd3dc13.jpg,aihole_durga_temple,test
aihole_durga_temple/758e27752813.jpg,aihole_durga_temple,test
aihole_durga_temple/313123888038.jpg,aihole_durga_temple,test
aihole_durga_temple/830e80f50437.jpg,aihole_durga_temple,test
aihole_durga_temple/97351de6fa1f.jpg,aihole_durga_temple,test
aihole_durga_temple/ea9668917334.jpg,aihole_durga_temple,test
aihole_durga_temple/ead8832221b5.jpg,aihole_durga_temple,test
aihole_durga_temple/2cd4990b0dd8.jpg,aihole_durga_temple,test
aihole_durga_temple/c7506b77aa76.jpg,aihole_durga_temple,test
aihole_durga_temple/f1e4875140e9.jpg,aihole_durga_temple,test
aihole_durga_temple/eb06fa5ade9c.jpg,aihole_durga_temple,test
aihole_durga_temple/7f6152891c22.jpg,aihole_durga_temple,test
aihole_durga_temple/e675991e7304.jpg,aihole_durga_temple,test
aihole_durga_temple/32ea011a131b.jpg,aihole_durga_temple,test
aihole_durga_temple/a93f2d3e4a28.jpg,aihole_durga_temple,test
aihole_durga_temple/baca578e133e.jpg,aihole_durga_temple,test
aihole_durga_temple/9ee3572d6d3b.jpg,aihole_durga_temple,test
aihole_durga_temple/3d86347dee65.jpg,aihole_durga_temple,test
aihole_durga_temple/df884ab53c01.jpg,aihole_durga_temple,test
aihole_durga_temple/f2c400a020e9.jpg,aihole_durga_temple,test
aihole_durga_temple/818086be3ea1.jpg,aihole_durga_temple,test
aihole_durga_temple/afa481666f1a.jpg,aihole_durga_temple,test
aihole_durga_temple/a2cb1ce192fb.jpg,aihole_durga_temple,test
aihole_durga_temple/3a087004aadf.jpg,aihole_durga_temple,test
aihole_durga_temple/3f425c46a802.jpg,aihole_durga_temple,test
aihole_durga_temple/4663cf83aefe.jpg,aihole_durga_temple,test
aihole_durga_temple/16013654e9bf.jpg,aihole_durga_temple,test
aihole_durga_temple/ddbd8a59fac5.jpg,aihole_durga_temple,test
aihole_durga_temple/0b35ae0ac251.jpg,aihole_durga_temple,test
aihole_durga_temple/1ffbc74136fe.jpg,aihole_durga_temple,test
aihole_durga_temple/50365e3a38d8.jpg,aihole_durga_temple,test
aihole_durga_temple/7418721e4aa3.jpg,aihole_durga_temple,test
aihole_durga_temple/666674871782.jpg,aihole_durga_temple,test
aihole_durga_temple/a591653de7e6.jpg,aihole_durga_temple,test
aihole_durga_temple/72ffb194034a.jpg,aihole_durga_temple,test
aihole_durga_temple/98dc0517903e.jpg,aihole_durga_temple,test
aihole_durga_temple/3d898720e563.jpg,aihole_durga_temple,test
aihole_durga_temple/415abac2a52d.jpg,aihole_durga_temple,test
aihole_durga_temple/219fbad931c6.jpg,aihole_durga_temple,test
aihole_durga_temple/5f22fce6983c.jpg,aihole_durga_temple,test
aihole_durga_temple/9fd2e5707852.jpg,aihole_durga_temple,test
aihole_durga_temple/ecad1585e92a.jpg,aihole_durga_temple,test
aihole_durga_temple/97821ce0a7c2.jpg,aihole_durga_temple,test
aihole_durga_temple/a6f0dea239f0.jpg,aihole_durga_temple,test
aihole_durga_temple/0651ab4cca12.jpg,aihole_durga_temple,test
aihole_durga_temple/d944671956ae.jpg,aihole_durga_temple,test
aihole_durga_temple/042b71f5b231.jpg,aihole_durga_temple,test
aihole_durga_temple/b1f455686e0c.jpg,aihole_durga_temple,test
aihole_durga_temple/926ed77e8321.jpg,aihole_durga_temple,val
aihole_durga_temple/ae8f8ee6dea7.jpg,aihole_durga_temple,val
aihole_durga_temple/c394ade6454b.jpg,aihole_durga_temple,val
aihole_durga_temple/4328d74ef7ff.jpg,aihole_durga_temple,val
aihole_durga_temple/5dbda9f62e45.jpg,aihole_durga_temple,val
aihole_durga_temple/622e457342ba.jpg,aihole_durga_temple,val
aihole_durga_temple/484882a24e5a.jpg,aihole_durga_temple,val
aihole_durga_temple/d309e63aaf75.jpg,aihole_durga_temple,val
aihole_durga_temple/f718f9dc075e.jpg,aihole_durga_temple,val
aihole_durga_temple/4ee18fe6beae.jpg,aihole_durga_temple,val
aihole_durga_temple/5b2c35fed569.jpg,aihole_durga_temple,val
aihole_durga_temple/f9427056b241.jpg,aihole_durga_temple,val
aihole_durga_temple/328ed2722204.jpg,aihole_durga_temple,val
aihole_durga_temple/5884bc189236.jpg,aihole_durga_temple,val
aihole_durga_temple/f7b2f6c3c08a.jpg,aihole_durga_temple,val
aihole_durga_temple/66a1a4ee312f.jpg,aihole_durga_temple,val
aihole_durga_temple/69e92aae2023.jpg,aihole_durga_temple,val
aihole_durga_temple/9656371eb949.jpg,aihole_durga_temple,val
aihole_durga_temple/8bf3cf619637.jpg,aihole_durga_temple,val
aihole_durga_temple/ab8017ddea67.jpg,aihole_durga_temple,val
aihole_durga_temple/ec10a2e639a4.jpg,aihole_durga_temple,val
aihole_durga_temple/393744c2a7d7.jpg,aihole_durga_temple,val
aihole_durga_temple/910ff5e6e5a7.jpg,aihole_durga_temple,val
aihole_durga_temple/f57215cbf63a.jpg,aihole_durga_temple,val
aihole_durga_temple/047b07892110.jpg,aihole_durga_temple,val
aihole_durga_temple/e168245c0867.jpg,aihole_durga_temple,val
aihole_durga_temple/f63316eb7eb6.jpg,aihole_durga_temple,val
aihole_durga_temple/5dec23736bd8.jpg,aihole_durga_temple,val
aihole_durga_temple/819714528ea0.jpg,aihole_durga_temple,val
aihole_durga_temple/888078d5e3d7.jpg,aihole_durga_temple,val
aihole_durga_temple/cc9a4f133252.jpg,aihole_durga_temple,val
aihole_durga_temple/6dfaf2004595.jpg,aihole_durga_temple,val
aihole_durga_temple/85166ce30334.jpg,aihole_durga_temple,val
aihole_durga_temple/8db84f5ac517.jpg,aihole_durga_temple,val
aihole_durga_temple/b5e17de47fb1.jpg,aihole_durga_temple,val
aihole_durga_temple/aeeb9d93cfc2.jpg,aihole_durga_temple,val
aihole_durga_temple/baf769db6ed2.jpg,aihole_durga_temple,val
aihole_durga_temple/c0f0a919ba0a.jpg,aihole_durga_temple,val
aihole_durga_temple/cb279c3c6f74.jpg,aihole_durga_temple,val
aihole_durga_temple/b2074052625b.jpg,aihole_durga_temple,val
aihole_durga_temple/cc6f2cd8e93f.jpg,aihole_durga_temple,val
